id,path,question,a,b,c,d,answer
train_0001.jpg,train/train_0001.jpg,사진 속 흰색 텀블러의 재질은 무엇인가요?,유리,금속,종이,플라스틱,b
train_0002.jpg,train/train_0002.jpg,사진에 보이는 재활용 가능한 병의 종류는 무엇인가요?,금속 캔,유리 병,플라스틱 병,종이 팩,b
train_0003.jpg,train/train_0003.jpg,사진 속 재활용품 중 플라스틱 재질인 것은 무엇인가요?,껌 상자,헤어끈,음료 컵과 뚜껑,종이컵 홀더,c
train_0004.jpg,train/train_0004.jpg,사진에 보이는 '빅파이' 과자 상자의 재활용 분류는 무엇인가요?,종이류,유리류,플라스틱류,금속류,a
train_0005.jpg,train/train_0005.jpg,사진 속 음료 용기의 재활용 분류는 무엇인가요?,종이,플라스틱,금속,유리,b
train_0006.jpg,train/train_0006.jpg,사진 속 재활용품 중 플라스틱 재질인 것은 무엇인가요?,종이 위에 놓인 사탕 포장지,종이컵 홀더,컴퓨터 모니터,플라스틱 컵과 빨대,d
train_0007.jpg,train/train_0007.jpg,사진에 보이는 재활용품 중에서 가장 많은 종류는 무엇인가요?,금속 캔,플라스틱 봉투,종이상자,유리병,c
train_0008.jpg,train/train_0008.jpg,사진 속 재활용품 중 플라스틱 병은 몇 개 있나요?,2개,3개,1개,없다,c
train_0009.jpg,train/train_0009.jpg,사진에서 재활용품으로 분류할 수 있는 상자는 어떤 재질인가요?,종이,금속,유리,플라스틱,a
train_0010.jpg,train/train_0010.jpg,사진에 보이는 재활용 가능한 종이컵의 색상은 무엇인가요?,빨간색과 흰색,초록색과 흰색,파란색과 흰색,노란색과 흰색,b
